date	xml_link	pdf_link	file
19-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-19/toc_unixml/19280919_senate_10_119_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-19/toc_pdf/19280919_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-19/0065%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-19%2F0065%22.html
20-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-20/toc_unixml/19280920_senate_10_119_v12.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-20/toc_pdf/19280920_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-20/0028%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-20%2F0028%22.html
20-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-20/toc_unixml/19280920_senate_10_119_v12.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-20/toc_pdf/19280920_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-20/0057%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-20%2F0057%22.html
21-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-21/toc_unixml/19280921_senate_10_119_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-21/toc_pdf/19280921_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-21/0012%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-21%2F0012%22.html
22-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-22/toc_unixml/19280922_senate_10_119_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-22/toc_pdf/19280922_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-22/0057%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-22%2F0057%22.html
22-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-22/toc_unixml/19280922_senate_10_119_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-22/toc_pdf/19280922_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-22/0060%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-22%2F0060%22.html
06-02-1929	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1929-02-06/toc_unixml/19290206_senate_11_120_v6.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1929-02-06/toc_pdf/19290206_senate_11_120.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1929-02-06/0022%22	Id%3A%22hansard80%2Fhansards80%2F1929-02-06%2F0022%22.html
07-02-1929	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1929-02-07/toc_unixml/19290207_senate_11_120_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1929-02-07/toc_pdf/19290207_senate_11_120.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1929-02-07/0027%22	Id%3A%22hansard80%2Fhansards80%2F1929-02-07%2F0027%22.html
08-02-1929	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1929-02-08/toc_unixml/19290208_senate_11_120_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1929-02-08/toc_pdf/19290208_senate_11_120.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1929-02-08/0013%22	Id%3A%22hansard80%2Fhansards80%2F1929-02-08%2F0013%22.html
13-02-1929	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1929-02-13/toc_unixml/19290213_senate_11_120_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1929-02-13/toc_pdf/19290213_senate_11_120.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1929-02-13/0017%22	Id%3A%22hansard80%2Fhansards80%2F1929-02-13%2F0017%22.html
14-02-1929	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1929-02-14/toc_unixml/19290214_senate_11_120_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1929-02-14/toc_pdf/19290214_senate_11_120.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1929-02-14/0025%22	Id%3A%22hansard80%2Fhansards80%2F1929-02-14%2F0025%22.html
14-02-1929	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1929-02-14/toc_unixml/19290214_senate_11_120_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1929-02-14/toc_pdf/19290214_senate_11_120.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1929-02-14/0026%22	Id%3A%22hansard80%2Fhansards80%2F1929-02-14%2F0026%22.html
15-02-1929	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1929-02-15/toc_unixml/19290215_senate_11_120_v7.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1929-02-15/toc_pdf/19290215_senate_11_120.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1929-02-15/0018%22	Id%3A%22hansard80%2Fhansards80%2F1929-02-15%2F0018%22.html
